TimeInterval,Activity,Accel.x,Accel.y,Accel.z,RotRate.x,RotRate.y,RotRate.z,Gravity.x,Gravity.y,Gravity.z,Attitude.pitch,Attitude.roll,Attitude.yaw,AccumulatedRateGravity,PeakRate
1,1,0.007934541,-0.000705957,0.010282457,0.051650681,0.015652224,-0.013913743,-0.042892437,-0.356761038,-0.933210492,0.364798478,-0.045929908,0.168427854,-0.068701444,-0.376154332
1,1,-0.004154578,-0.008758307,0.014006913,0.026997292,-0.001893213,-0.014811921,-0.041606534,-0.358581066,-0.932570934,0.366747423,-0.044585307,0.16748559,-0.060910982,-0.376154332
1,1,-0.004154578,-0.008758307,0.014006913,0.026997292,-0.001893213,-0.014811921,-0.041606534,-0.358581066,-0.932570934,0.366747423,-0.044585307,0.16748559,-0.05312052,-0.21958234
1,1,-0.004154578,-0.008758307,0.014006913,0.026997292,-0.001893213,-0.014811921,-0.041606534,-0.358581066,-0.932570934,0.366747423,-0.044585307,0.16748559,-0.048461498,-0.21958234
1,1,-0.004154578,-0.008758307,0.014006913,0.026997292,-0.001893213,-0.014811921,-0.041606534,-0.358581066,-0.932570934,0.366747423,-0.044585307,0.16748559,-0.043802475,-0.21958234
1,1,-0.006181996,-0.006363958,0.014170468,0.017662607,0.010920719,-0.00899121,-0.040754039,-0.359205365,-0.932368279,0.367416304,-0.043682433,0.166682561,-0.039336018,-0.21958234
1,1,-0.006181996,-0.006363958,0.014170468,0.017662607,0.010920719,-0.00899121,-0.040754039,-0.359205365,-0.932368279,0.367416304,-0.043682433,0.166682561,-0.034869561,-0.205741576
1,1,-0.006181996,-0.006363958,0.014170468,0.017662607,0.010920719,-0.00899121,-0.040754039,-0.359205365,-0.932368279,0.367416304,-0.043682433,0.166682561,-0.030679919,-0.205741576
1,1,-0.006181996,-0.006363958,0.014170468,0.017662607,0.010920719,-0.00899121,-0.040754039,-0.359205365,-0.932368279,0.367416304,-0.043682433,0.166682561,-0.026490277,-0.205741576
1,1,-0.003150076,-0.003424674,0.02319026,0.097221047,0.008693822,-0.002291921,-0.040474806,-0.361717373,-0.931408823,0.370109356,-0.043428145,0.166559684,-0.022474346,-0.205741576
1,1,-0.003150076,-0.003424674,0.02319026,0.097221047,0.008693822,-0.002291921,-0.040474806,-0.361717373,-0.931408823,0.370109356,-0.043428145,0.166559684,-0.018458414,-0.092320439
1,1,-0.003150076,-0.003424674,0.02319026,0.097221047,0.008693822,-0.002291921,-0.040474806,-0.361717373,-0.931408823,0.370109356,-0.043428145,0.166559684,-0.016710905,-0.092320439
1,1,-0.003150076,-0.003424674,0.02319026,0.097221047,0.008693822,-0.002291921,-0.040474806,-0.361717373,-0.931408823,0.370109356,-0.043428145,0.166559684,-0.014963396,-0.092320439
1,1,8.88E-05,-0.006972045,0.013063967,0.036428373,-0.016592167,-0.001426234,-0.041195937,-0.365372092,-0.929949522,0.374032509,-0.044270167,0.166712898,-0.012999229,-0.092320439
1,1,8.88E-05,-0.006972045,0.013063967,0.036428373,-0.016592167,-0.001426234,-0.041195937,-0.365372092,-0.929949522,0.374032509,-0.044270167,0.166712898,-0.011035061,-0.046402422
1,1,8.88E-05,-0.006972045,0.013063967,0.036428373,-0.016592167,-0.001426234,-0.041195937,-0.365372092,-0.929949522,0.374032509,-0.044270167,0.166712898,-0.009989254,-0.046402422
1,1,8.88E-05,-0.006972045,0.013063967,0.036428373,-0.016592167,-0.001426234,-0.041195937,-0.365372092,-0.929949522,0.374032509,-0.044270167,0.166712898,-0.008943447,-0.046402422
1,1,-0.001995549,0.002830625,0.00703156,0.051657032,0.006060353,-0.000663079,-0.041644569,-0.366690755,-0.929410338,0.375449506,-0.044777563,0.166715311,-0.008090543,-0.046402422
1,1,-0.001995549,0.002830625,0.00703156,0.051657032,0.006060353,-0.000663079,-0.041644569,-0.366690755,-0.929410338,0.375449506,-0.044777563,0.166715311,-0.007237639,-0.036265113
1,1,-0.001995549,0.002830625,0.00703156,0.051657032,0.006060353,-0.000663079,-0.041644569,-0.366690755,-0.929410338,0.375449506,-0.044777563,0.166715311,-0.006864394,-0.036265113
1,1,-0.001995549,0.002830625,0.00703156,0.051657032,0.006060353,-0.000663079,-0.041644569,-0.366690755,-0.929410338,0.375449506,-0.044777563,0.166715311,-0.006491149,-0.036265113
1,1,0.011711199,-0.002159894,0.005170405,0.073469371,-0.018704997,-0.001051954,-0.041557353,-0.370046616,-0.928083241,0.379059204,-0.044747722,0.166743611,-0.005945863,-0.036265113
